loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_precision,eval_weighted_recall,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2472,5.13075065612793,1.9331058020477818e-05,0.17064846416382254,50,,,,,,,,,,,,,,,,
0.6242,10.161203384399414,1.8648464163822526e-05,0.3412969283276451,100,,,,,,,,,,,,,,,,
0.4811,6.7529168128967285,1.7965870307167237e-05,0.5119453924914675,150,,,,,,,,,,,,,,,,
0.4888,14.681483268737793,1.7283276450511948e-05,0.6825938566552902,200,,,,,,,,,,,,,,,,
0.4439,4.464072227478027,1.6600682593856655e-05,0.8532423208191127,250,,,,,,,,,,,,,,,,
,,,1.0,293,0.4283503293991089,0.8065068493150684,0.761410585098777,0.8113769613286665,0.7751226453612198,0.8374637338276679,0.8065068493150684,0.8142125444355713,0.8607,678.533,22.076,,,,,
0.3916,6.615688323974609,1.5918088737201366e-05,1.023890784982935,300,,,,,,,,,,,,,,,,
0.3288,6.3613600730896,1.5235494880546076e-05,1.1945392491467577,350,,,,,,,,,,,,,,,,
0.3281,9.330665588378906,1.4552901023890786e-05,1.36518771331058,400,,,,,,,,,,,,,,,,
0.3319,3.430814504623413,1.3870307167235496e-05,1.5358361774744027,450,,,,,,,,,,,,,,,,
0.3111,13.05105209350586,1.3187713310580205e-05,1.7064846416382253,500,,,,,,,,,,,,,,,,
0.2978,3.4867286682128906,1.2505119453924916e-05,1.8771331058020477,550,,,,,,,,,,,,,,,,
,,,2.0,586,0.42902427911758423,0.785958904109589,0.7223212552841081,0.7302600691188254,0.7255136358289103,0.7940145939131441,0.785958904109589,0.7895718172077636,0.8769,665.953,21.666,,,,,
0.266,2.4505746364593506,1.1822525597269625e-05,2.04778156996587,600,,,,,,,,,,,,,,,,
0.2018,inf,1.1139931740614336e-05,2.218430034129693,650,,,,,,,,,,,,,,,,
0.2061,3.373725175857544,1.0457337883959044e-05,2.3890784982935154,700,,,,,,,,,,,,,,,,
0.2081,1.6854838132858276,9.774744027303755e-06,2.5597269624573378,750,,,,,,,,,,,,,,,,
0.2426,15.710403442382812,9.092150170648464e-06,2.73037542662116,800,,,,,,,,,,,,,,,,
0.1825,7.560137748718262,8.409556313993175e-06,2.901023890784983,850,,,,,,,,,,,,,,,,
,,,3.0,879,0.5215668678283691,0.7825342465753424,0.7108355208543672,0.672374157350753,0.6854739164792313,0.7712893627006687,0.7825342465753424,0.7723094842329529,0.8708,670.664,21.82,,,,,
0.186,1.1426749229431152,7.726962457337884e-06,3.0716723549488054,900,,,,,,,,,,,,,,,,
0.1692,2.309847354888916,7.044368600682594e-06,3.242320819112628,950,,,,,,,,,,,,,,,,
0.1619,1.7033535242080688,6.361774744027305e-06,3.4129692832764507,1000,,,,,,,,,,,,,,,,
0.1538,1.1138521432876587,5.679180887372015e-06,3.583617747440273,1050,,,,,,,,,,,,,,,,
0.1693,14.727972030639648,4.996587030716724e-06,3.7542662116040955,1100,,,,,,,,,,,,,,,,
0.1931,3.7420670986175537,4.313993174061434e-06,3.9249146757679183,1150,,,,,,,,,,,,,,,,
,,,4.0,1172,0.562102735042572,0.7773972602739726,0.6907170986151797,0.6636936066759976,0.6726702729284485,0.7626907792355113,0.7773972602739726,0.76678193764715,0.9312,627.128,20.403,,,,,
0.1516,1.3422412872314453,3.6313993174061434e-06,4.09556313993174,1200,,,,,,,,,,,,,,,,
0.1423,3.477726459503174,2.9488054607508536e-06,4.266211604095563,1250,,,,,,,,,,,,,,,,
0.1585,5.5549235343933105,2.2662116040955633e-06,4.436860068259386,1300,,,,,,,,,,,,,,,,
0.1457,7.821169376373291,1.583617747440273e-06,4.607508532423208,1350,,,,,,,,,,,,,,,,
0.1636,3.4690604209899902,9.01023890784983e-07,4.778156996587031,1400,,,,,,,,,,,,,,,,
0.1448,9.401453971862793,2.1843003412969286e-07,4.948805460750854,1450,,,,,,,,,,,,,,,,
,,,5.0,1465,0.565923273563385,0.7825342465753424,0.698508238458812,0.6847640715981603,0.6895069941202258,0.7697768720946773,0.7825342465753424,0.7749618725715944,0.8907,655.67,21.332,,,,,
,,,5.0,1465,,,,,,,,,,,,156.8579,148.957,9.34,1152683438477760.0,0.29219899340294325
